id,text,category
3973,1047 6700 4178 2912 183 6700,0
4462,4035 4563 1994 154 5373 4956 6035 4393 4017 4035 1556 5922 3412 5615 5328 6055 4457 6361 6429 3376 3376 5773 3746 8621 5773 8407 6055 4017 482,1
2889,5035 7685 3139 4407 254 584 6589 8518 3078,0
3457,1047 2540 2578 6700 2242 230 3771 4676 5881 6465 3777 468 2641 3207 6855 6589 2492 237 5071 6700,0
1555,7685 5868 237 6794 3078,0
3519,425 7327 230 2698 1444 5326 2734 2612 5773 193,0
4734,5465 7660 5107 3882 8075 8542 3119 6300 8406 12 1612 5118 2945 7473 5407 2476 5407,0
2953,1322 1408 3344 2971 2965 5976 7152 7765 1490 3041 3078 7317 6105 4902 6412 2112 8404 7453 4017 6084 6687 1947 2453 6369 2534 8527 8301 3805 8093 3943 1608 7570 5849 7954 339 7152 5601,0
2929,3182 7698 5136 753 6254 5922 8051 2113 1556 8406 2845 230 4008 7314 1189 4976 4211 675 1055 2129 2963 8168 224 2734 5795 237 1041 3310,0
1392,3757 4211 6700 1621 730 7725 6700,0
4755,6084 7027 7343 2641 2866 4093 6700 3771 907 6547 1999 1994 3477 3119 5773,0
1956,3048 6517 8214 6980 3853 3283 5063 4768 4211 1927 2926 2734 3968 2199 1651 6300 2440,0
3240,5776 230 7131 3626 3581 6300 5922 6551,0
1809,2682 5795 5620 1870 8028,0
2322,1140 4144 4385 4032 1947 7450 1503 3001 2443 5643 3505 5773 7860 5990 5773 5373 230 1741 7297 3848 7528 5773 5658 230 7528 2370 388 5773 5713 230 6707 4032 5101 230 6084 6980 5439 230 5174 8542 4959 3836 911 5773 1928 4032 6084 6980 3607 5773 2934 4032 6084 6980 8613 5689 5773 1988 4801 5951 4032 6084 2945 5658 4144 5492 4638 5773 8172 4032 3821 2945 5658 7549 5773 8324 4032 3821 2945 5658 5922 6964 5773 7528 3287 4144 770 3467 5773 4728 7531 3078 1868 3457 6166 230 4518 7152 1089 2552 5773,0
2454,3556 254 772 5773 3078 2821 230 6084 8251 4693 1280 6084 4562 4693 230 2506 4897 1923 5368 6412 8608 254 237 8080 1628 3119 1280 5071 4250 2462 2612 230 6527 4211 230 8253 230 8253 6527 4211 7526,0
3703,5776 8364 1226 5425 3474 230 7027 2734 2807 8444 5045 1194 8266 3078 7531 861 237 5045 4442 5107 6976 8298 6983 4179 4442 1799 8298 6084 1900 6084 6980,0
4795,3898 8213 230 3968 2734 3501 5045 5922 1934 5174 2734 2269 254 5773 8637 237 274 237 2734 2655 254 6845 1634 5672 8542 7248 4731 5773,0
2128,6084 3759 3405 907 5922 3964 5447 5181 7538,0
1639,3955 6084 8083 6115 1611 6811 5719 230 8063 6757 7221 4641 1280 6084 1040 4898 1947 7337 3354 4732 3736 2115 2965 1280 1443 55 2986 2942 8083 5623 1186,0
2260,3898 7937 7526 1381 7579 6589 1381 6410 1994 8105 6129 7526 1051 5945 6215 5738 3189 4017 4017 4017,0
1043,590 2242 5773 2698 7027 5395 7924 4408 224 3056 4557 6071 5773,0
2120,1047 2540 5773 2925 1235 6254 237 771 6300 4931 224 4211 1444 3647 8542 1286 4121 237 6527 6517 1556 2210 5773 966 8542 4121 142 4202 224 142 753 8542 2845 3078,0
1695,590 7526 6084 6980 5966 7924 4927 7796 2963 5610 1886 4580 3426 237 6794 2963 5713 1886 3968 5155 237 6165 6619 3110 7526 427 6343 230 5071 5326 5045 5174 526 7526,0
2142,7452 237 5219 5896 2655 4503 8045,0
4018,257 4608 4344 2698 6156 5071 1230 4056 3411 1395 7526 7152 5658 6439 1086 154 2698 6619 6439 5138 7526,0
2350,7784 230 4442 5922 5589 8555,0
2180,3182 6120 7099 753 5107 6517 4719 224 2734 1444 5107 102 2968 4614 5599 6537 8287 6767 5773,0
3004,3746 2922 5672 1651 5239 5773 4442 4923 4211 5085,0
2810,4511 4389 8542 3130 3548 3759 6456 6527 5922 1412 5773,0
3550,7823 6254 5922 739 4017 5100 753 7982 5141 224 7982 2470 4017 4442 7827 5672 8542 3629 4017,0
1917,326 6517 5672 8542 1144 3078 3746 907 1705 6840 4017,0
1558,4915 5773 3332 2734 8444 6549 6589 2230 2734 3934 7012 2869,0
4384,3455 5490 8145 7045 8482 4326 5163 520 7765 1947 3869 4902 6588 7919 3078,0
4128,2188 5620 4017 6084 5795 1226 5175 2655 2734 7526,0
3485,1774 5935 7526 5118 4112 7514 7924 7583 2734 3968 154 7601 224 6781 237 152 8542 7522 7526,0
1122,3285 2734 7028 1226 3543 2744 3078,0
2024,6084 1444 1230 518 2726 5636,0
3393,2297 7526 7823 5160 230 5432 3968 1918 4279 7526,0
1477,5035 1520 3647 6789 4976 3771 4017,0
4531,4518 2734 5063 230 6461 3223 1444 6794 237 4647 445 5773 7238 1280 2402 2963 5001 6423 520 5928 6584 2019 4436 2280 7735 2420 752 3625 7265 2977 5326 4715 7343 5050,1
4789,3126 4692 230 5174 6084 8091 2734 6980 8542 855 6463 3468 3797,0
3151,7436 1817 4017 7104 1185 6787 8380 5551 6556 5658 8214 4774 3688 7465 5658 5071 6619 5922 4056 1191 3718 2786 3341 5620 1822 2963 6228 6843 8623 4799 5773 7973,0
3782,4518 2734 5868 237 4877 4211 6589 3669 8134 6193 7669 8058 238 7314 7669 230 4533 8542 7893 1686 7812 8542 1343 7514 753,0
1552,3994 907 7860 8237 3302 7036 8542 5492 6851 753 6300 2738 4608 4160 8474 6794 1891 8542 5492 6851 7526 3468 4211 595,0
4489,6084 5079 5896 8519 1556 2908 6767 224 4211 7583 3581 2325 1075 4017,0
3764,7879 1444 667 3647 472 5773 3656 5063 3647 6500 1994 5922 4968 5107 237 1041 5922 5845 5672 5118 224 6843,0
3909,3898 4546 4017 1089 5071 2573 528 7811 230 5417 6494 5773 2698 276 2460 7281 1280 5741 2698 4349 5795 691 4017 1196 565 5229 6300 4704 3785 5773 327 1800 5045 7216,0
1567,3821 8538 5326 6254 7860 2372 3286 5773 3746 3501 7538 4591 3286 5773,0
1678,7685 3968 7936 5255 88 2734 5868 237 4752 3825 5773,0
4194,676 5636 230 8406 6424 4017 1084 4547 517 548 3078 3820 8406 7693 7022 5085 3078 5270 6527 2734 6527 3078 5837 2734 7027 7924 5045 3078 5837 2734 351 5045 3078 5837 2734 1309 5045 3078,0
1449,5837 5795 5922 4944 572 4369 5773 6084 6843 2734 4608 6097 5773,0
3937,7947 918 307 254 5792 5773 3824 2734 5773,0
4683,7436 875 230 753 7911 1224 8206 3078,0
4087,891 651 6517 2641 753 3080 237 1917 4503 8574 1261 6300 3186,0
3510,5107 6517 6084 6349 7924 230 5395 3119 6193 5141 2230 7982 3581 7924 5779,0
1008,5598 230 853 5335 3601 2134 1041 5094 1499 5773 2977 5773,0
1887,3730 468 2734 5300 3581 6300 5922 4121 6517 2889 3192 8075 7924 6758 7269,0
3315,3811 5551 3758 5045 6517 2734 4628 3477 6979 5773 300 5773,0
4618,3542 5045 3669 5773 431 3098 5773,0
4048,6802 6439 4938 7448 7924 8542 572 5773 6084 5750 2734 4938 3298 5773,0
3910,6521 6084 5063 739 5672 7524 8542 3485 3283 6084 4077 1410 3647 4715 4016 6220,0
3259,425 7519 1320 8155 378 5773 7513 3283 3366 5658 6527 4675 7686 2982 5085 5773,0
2113,5957 3384 274 5672 5239 230 1543 1748,0
1882,1080 1207 5326 2734 5174 4442 1416,0
1366,5768 3168 5658 7860 5773 326 6517 4504,0
